i	j	xijv1
235	234	1
236	202	1
237	238	1
237	241	1
237	244	1
238	237	1
238	239	1
238	249	1
239	238	1
239	240	1
239	248	1
240	239	1
240	241	1
240	264	1
241	237	1
241	240	1
241	242	1
242	241	1
242	243	1
242	247	1
243	75	1
243	242	1
243	244	1
243	245	1
244	237	1
244	243	1
244	245	1
244	246	1
245	127	1
245	243	1
245	244	1
246	244	1
247	242	1
248	239	1
248	257	1
248	259	1
249	238	1
249	256	1
249	260	1
250	147	1
251	156	1
251	159	1
251	280	1
252	254	1
253	254	1
254	2	1
254	252	1
254	253	1
254	255	1
255	254	1
256	249	1
257	248	1
257	258	1
258	257	1
258	260	1
259	248	1
259	261	1
259	262	1
260	249	1
260	258	1
260	262	1
261	259	1
262	259	1
262	260	1
262	263	1
263	262	1
264	240	1
265	122	1
265	270	1
266	143	1
266	159	1
266	267	1
267	128	1
267	266	1
268	184	1
269	60	1
270	126	1
270	133	1
271	64	1
272	165	1
273	274	1
273	277	1
273	278	1
273	283	1
274	31	1
274	34	1
274	273	1
275	128	1
275	141	1
276	277	1
276	279	1
276	286	1
277	273	1
277	276	1
277	285	1
278	273	1
279	276	1
280	167	1
280	251	1
281	201	1
281	205	1
281	282	1
282	193	1
282	199	1
282	200	1
283	48	1
283	65	1
283	273	1
284	195	1
284	209	1
285	277	1
286	276	1
287	293	1
288	294	1
289	9	1
289	291	1
290	9	1
290	21	1
290	292	1
291	289	1
291	292	1
291	293	1
292	290	1
292	291	1
292	294	1
293	287	1
293	291	1
293	294	1
294	288	1
294	292	1
294	293	1
